City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,89.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
11,Anito,PH,76.84,light rain,12.4497,125.2886,El Felix Cottages
14,Atuona,PF,78.03,few clouds,-9.8,-139.0333,Villa Enata
26,Butaritari,KI,80.55,light rain,3.0707,172.7902,Isles Sunset Lodge
28,Inongo,CD,76.17,overcast clouds,-1.95,18.2667,Hotel Du Lac
33,Itarema,BR,82.38,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
35,Machilipatnam,IN,87.37,overcast clouds,16.1667,81.1333,R&B Bungalow
38,Jamestown,US,80.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Hithadhoo,MV,82.27,overcast clouds,-0.6,73.0833,Scoop Guest House
43,Lorengau,PG,80.51,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
46,Koson,UZ,82.72,clear sky,39.0375,65.585,Jamshid Orziev ning uyi
50,Celestun,MX,86.99,scattered clouds,20.8667,-90.4,Posada Lilia
54,Havelock,US,83.01,clear sky,34.8791,-76.9013,Sherwood Motel
56,Dingle,PH,76.26,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
69,Grand Island,US,79.38,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
72,Lompoc,US,75.34,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
76,Murgab,TM,81.88,clear sky,37.4966,61.9714,Wepa Nurlyýew
80,Fayaoue,NC,75.9,scattered clouds,-20.65,166.5333,Chez Dydyce Guesthouse
89,Kapaa,US,78.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Sinnamary,GF,79.81,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
101,Georgetown,MY,78.73,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
103,Kavieng,PG,81.41,light rain,-2.5744,150.7967,Nusa Island Retreat
105,Bethel,US,84.18,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
