City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jiexiu,CN,37.0244,111.9125,67.21,37,9,2.08,clear sky
1,Castro,BR,-24.7911,-50.0119,67.69,76,100,7.9,overcast clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,34.25,74,8,11.25,clear sky
3,Esperance,AU,-33.8667,121.9,56.08,61,100,3.71,overcast clouds
4,Ushuaia,AR,-54.8,-68.3,38.82,75,20,5.75,few clouds
5,Churapcha,RU,62.0025,132.4325,59.67,66,11,2.17,few clouds
6,Cherskiy,RU,68.75,161.3,37.44,60,26,10.2,scattered clouds
7,Qaanaaq,GL,77.484,-69.3632,30.83,87,100,4.45,light snow
8,Hilo,US,19.7297,-155.09,89.28,75,1,5.99,clear sky
9,Severo-Kurilsk,RU,50.6789,156.125,43.43,88,100,5.37,overcast clouds
10,Mataura,NZ,-46.1927,168.8643,44.01,83,100,4.79,overcast clouds
11,Anito,PH,12.4497,125.2886,76.84,91,19,4.29,light rain
12,Pokaran,IN,26.9167,71.9167,91.42,24,0,21.07,clear sky
13,Puerto Ayora,EC,-0.7393,-90.3518,74.55,91,99,5.01,overcast clouds
14,Atuona,PF,-9.8,-139.0333,78.03,74,11,14.94,few clouds
15,Jerantut,MY,3.936,102.3626,73.31,98,93,0.18,overcast clouds
16,Mahebourg,MU,-20.4081,57.7,71.26,78,4,13.42,clear sky
17,Namibe,AO,-15.1961,12.1522,73.89,60,8,3.6,clear sky
18,Kodiak,US,57.79,-152.4072,51.4,85,78,7.18,broken clouds
19,Adeje,ES,28.1227,-16.726,71.17,67,20,25.32,few clouds
20,Mar Del Plata,AR,-38.0023,-57.5575,64.42,48,0,9.22,clear sky
21,Lima,PE,-12.0432,-77.0282,61.05,82,100,5.75,overcast clouds
22,Mbigou,GA,-1.9005,11.906,68.02,97,89,3.6,moderate rain
23,Albany,US,42.6001,-73.9662,80.64,38,100,2.93,overcast clouds
24,Sitka,US,57.0531,-135.33,53.49,76,100,9.22,light rain
25,Dikson,RU,73.5069,80.5464,29.8,97,100,13.94,light snow
26,Butaritari,KI,3.0707,172.7902,80.55,79,8,13.53,light rain
27,Rikitea,PF,-23.1203,-134.9692,72.41,70,87,18.25,overcast clouds
28,Inongo,CD,-1.95,18.2667,76.17,62,99,0.6,overcast clouds
29,Upernavik,GL,72.7868,-56.1549,32.07,76,0,12.1,clear sky
30,Vaini,TO,-21.2,-175.2,73.58,68,5,14.81,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,37.42,93,75,14.97,light intensity shower rain
